county_fips	tweets	county	state	pop	tdays	disease	tpm	score	scorenew
1003	3	Baldwin County	AL	186717	2	Influenza	16.067000000	0.8106133641247485	1.7210815053005937
1013	5	Butler County	AL	20650	3	Influenza	242.130000000	2.3543984055916893	4.651767471364874
1015	3	Calhoun County	AL	117797	3	Influenza	25.467000000	1.4039565745560467	2.477750150645177
1017	2	Chambers County	AL	33939	1	Influenza	58.929000000	0.5847372183138652	2.2426682563528635
1021	3	Chilton County	AL	43895	2	Influenza	68.344000000	1.2111656072439854	3.021734133235847
1025	2	Clarke County	AL	25695	1	Influenza	77.836000000	0.6239099636186068	2.4948098319577867
1027	1	Clay County	AL	13862	1	Influenza	72.139000000	0.6131945343169555	2.4252956509869033
1029	1	Cleburne County	AL	14835	1	Influenza	67.408000000	0.6036413966933791	2.3636533138848526
1033	1	Colbert County	AL	54512	1	Influenza	18.344000000	0.4231974705532053	1.286631866576702
1039	1	Covington County	AL	38058	1	Influenza	26.275000000	0.4722815045313049	1.558896215225862
1045	1	Dale County	AL	50044	1	Influenza	19.982000000	0.43480927532989916	1.349259827961312
1047	2	Dallas County	AL	43332	2	Influenza	46.155000000	1.1009828708559566	2.6523361218599537
1051	1	Elmore County	AL	80162	1	Influenza	12.474000000	0.3715374146483526	1.023170093501251
1055	1	Etowah County	AL	104303	1	Influenza	9.587000000	0.33708954762303467	0.8627091069685924
1069	5	Houston County	AL	102369	5	Influenza	48.842000000	2.792041430060707	3.580379093663574
1071	1	Jackson County	AL	53291	1	Influenza	18.764000000	0.4262660144262148	1.303068019629331
1073	39	Jefferson County	AL	658931	7	Influenza	59.186000000	4.097439767129403	4.097439767129403
1077	8	Lauderdale County	AL	92781	5	Influenza	86.224000000	3.191771087431486	4.136582696400232
1079	1	Lawrence County	AL	34117	1	Influenza	29.310000000	0.4873539558671017	1.646183036370931
1081	25	Lee County	AL	143468	6	Influenza	174.254000000	4.428202585877657	5.013036219091599
1083	7	Limestone County	AL	85369	4	Influenza	81.996000000	2.5250242364938313	3.868172620435121
1087	1	Macon County	AL	21182	1	Influenza	47.209000000	0.5536493893739821	2.046936797265753
1089	20	Madison County	AL	340111	6	Influenza	58.804000000	3.5066336128728692	3.939704873960816
1095	3	Marshall County	AL	94166	3	Influenza	31.858000000	1.4966551056360622	2.6846743402612425
1097	12	Mobile County	AL	412577	5	Influenza	29.085000000	2.4314476490516532	3.080762522738566
1101	10	Montgomery County	AL	232032	6	Influenza	43.097000000	3.2454786453668234	3.6360134951660643
1103	5	Morgan County	AL	119953	2	Influenza	41.682000000	1.072507795911937	2.5579358089396624
1109	1	Pike County	AL	32915	1	Influenza	30.381000000	0.4923146591755166	1.6752524048882111
1113	1	Russell County	AL	54572	1	Influenza	18.324000000	0.42304969238459433	1.285842413626567
1115	2	St. Clair County	AL	84398	2	Influenza	23.697000000	0.9161947939335698	2.0503437046060933
1117	1	Shelby County	AL	197936	1	Influenza	5.052000000	0.25719839941801564	0.5433204722127415
1121	7	Talladega County	AL	81664	3	Influenza	85.717000000	1.912564261284431	3.6306107602756517
1123	1	Tallapoosa County	AL	41623	1	Influenza	24.025000000	0.45998218931446916	1.4888831820353576
1125	15	Tuscaloosa County	AL	197211	7	Influenza	76.060000000	4.344584339198011	4.344584339198011
1127	3	Walker County	AL	66661	2	Influenza	45.003000000	1.0939161747868107	2.6288626832051896
2020	2	Anchorage Municipality	AK	295570	2	Influenza	6.766000000	0.5856443518027074	1.0760744956427435
2150	1	Kodiak Island Borough	AK	13872	1	Influenza	72.087000000	0.6130929303376124	2.4246383632861193
4005	2	Coconino County	AZ	134511	2	Influenza	14.868000000	0.7898012864720239	1.657847051641788
4013	66	Maricopa County	AZ	3880244	7	Influenza	17.009000000	2.8908716329378157	2.8908716329378157
4015	1	Mohave County	AZ	202351	1	Influenza	4.941000000	0.2545539241962292	0.5340677074959344
4019	10	Pima County	AZ	989569	6	Influenza	10.105000000	2.0634818205826204	2.2681415225315353
4021	2	Pinal County	AZ	382992	2	Influenza	5.222000000	0.5223118281358415	0.9130856009252067
